Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
007,Elite Women,V6,500,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/007,3,USA,USA,2:27.89,147.89
007,Elite Women,V6,500,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/007,4,HERE TAINA,Chile,2:45.94,165.94
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,1,KARLS Tommy,Sweden,2:41.03,161.03
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,2,MC BRIDE Jeff,Hawai'i,2:45.83,165.83
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,3,SMITH Tim,Great Britain,2:51.34,171.34
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,4,MATTHEWS Mike,Singapore,2:51.80,171.8
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,5,SOOLE Shane,Australia,2:53.79,173.79
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,6,NEPIA Tahi,New Zealand,2:54.17,174.17
008,Master 60 Men,V1,500,Heat 1 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/008,DNS,,,,null
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,1,THOMAS George,New Zealand,2:38.18,158.18
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,2,KRUSZELNICKI Peter,Great Britain,2:41.51,161.51
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,3,FUHRMANN Marek,Germany,2:42.18,162.18
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,4,MCLELLAN Pat,Canada,2:46.61,166.61
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,DQ,MARTINS VLADIMIR,Brazil,2:55.09,175.09
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,5,BELL Mark,Australia,3:01.82,181.82
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,6,KING Thadius,USA,3:08.66,188.66
009,Master 60 Men,V1,500,Heat 2 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/009,DNS,,,,null
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,1,BAILEY Claude,Great Britain,2:45.64,165.64
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,2,COLE Steve,Hawai'i,2:48.94,168.94
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,3,VARNEL Rob,Canada,2:55.23,175.23
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,4,HESTIN CHRISTIAN,France,3:02.98,182.98
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,5,OLIVEIRA Edson,Brazil,3:03.55,183.55
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,6,FOSTER Lee,Australia,3:04.94,184.94
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,7,SCHEIB John,USA,3:51.34,231.34
010,Master 60 Men,V1,500,Heat 3 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/010,DNS,,,,null
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,1,GUYOT Pierre,Fiji,2:39.01,159.01
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,2,PRYOR Lyle,New Zealand,2:44.61,164.61
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,3,UNDERWOOD Jim,Canada,2:48.58,168.58
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,4,SALLAS KALEIWOHI Dennis,Hawai'i,2:54.23,174.23
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,5,BAUMANN Roger,Germany,2:55.83,175.83
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,6,DOMINGUEZ DOMINGUEZ Rodrigo,Chile,2:55.85,175.85
011,Master 60 Men,V1,500,Heat 4 / 4,https://www.liveresults.co.nz/competition/438/schedule/race/011,7,JÚNIOR Jorge,Brazil,3:04.49,184.49
012,Elite Men,V6,1500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/012,DQ,Brazil,Brazil,7:57.74,477.74
012,Elite Men,V6,1500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/012,1,Canada,Canada,7:58.56,478.56
012,Elite Men,V6,1500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/012,2,France,France,8:06.65,486.65
012,Elite Men,V6,1500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/012,3,USA,USA,8:45.00,525
013,Elite Men,V6,1500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/013,1,Great Britain,Great Britain,8:02.17,482.17
013,Elite Men,V6,1500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/013,2,Germany,Germany,8:22.02,502.02
013,Elite Men,V6,1500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/013,3,Singapore,Singapore,8:22.52,502.52
013,Elite Men,V6,1500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/013,DQ,Panama,Panama,8:36.00,516
014,Elite Men,V6,1500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,1,Hawaii - Lanikai,Hawai'i,7:35.66,455.66
014,Elite Men,V6,1500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,2,Aotearoa Nz,New Zealand,7:40.61,460.61
014,Elite Men,V6,1500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,3,PACIFICOS,Chile,8:04.21,484.21
014,Elite Men,V6,1500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/014,DQ,New Caledonia,New Caledonia,8:07.32,487.32
015,Elite Women,V6,1500,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,1,Great Britain,Great Britain,8:40.38,520.38
015,Elite Women,V6,1500,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,2,Brazil,Brazil,8:51.84,531.84
015,Elite Women,V6,1500,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,3,USA,USA,9:19.68,559.68
015,Elite Women,V6,1500,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,DQ,Singapore,Singapore,9:25.22,565.22
