Boat Type,Class,Club,Country,Place,Distance,Race Number,,
V1,Junior 16 Men,"BERRIOS QUEZADA, Esteban",Chile,5,500,61,,
V1,Junior 16 Men,"CAMPBELL, Maia",New Zealand,1,500,61,,
V1,Junior 16 Men,"CAMPBELL, Maia",New Zealand,1,500,147,,
V1,Junior 16 Men,"COVARRUBIAS CIFUENTES, Tristan",Chile,8,500,60,,
